RCID,Lat,Lon
RC171207,52.40337,-1.96372
RC170576,52.40337,-1.97843
RC170577,52.39437,-1.97843
RC170578,52.38538,-1.97844
RC169942,52.38538,-1.99314
RC170579,52.37638,-1.97844
RC170580,52.36739,-1.97844
RC169944,52.36739,-1.99314
RC169945,52.35839,-1.99314
RC169946,52.3494,-1.99314
RC169310,52.3494,-2.00784
RC169311,52.3404,-2.00783
RC168644,52.3404,-2.02252
RC168645,52.33141,-2.02252
RC167978,52.3314,-2.0372
RC167979,52.32241,-2.03719
RC167303,52.3224,-2.05188
RC167304,52.31341,-2.05187
RC166628,52.3134,-2.06655
RC166629,52.3044,-2.06653
RC165953,52.30439,-2.08121
RC165954,52.2954,-2.08119
RC165269,52.29539,-2.09586
RC165270,52.28639,-2.09585
RC165271,52.2774,-2.09583
RC164586,52.27738,-2.11049
RC164587,52.26839,-2.11047
RC164588,52.25939,-2.11045
RC164589,52.2504,-2.11043
RC164590,52.2414,-2.1104
RC163892,52.24139,-2.12506
RC163893,52.23239,-2.12503
RC163894,52.2234,-2.12501
RC163197,52.21439,-2.13963
RC163198,52.20539,-2.1396
RC163199,52.19639,-2.13957
RC163200,52.1874,-2.13954
RC163201,52.1784,-2.13952
RC163202,52.16941,-2.13949
RC162504,52.16939,-2.15412
RC162505,52.16039,-2.15409
RC162506,52.1514,-2.15406
RC161805,52.14238,-2.16865
RC162507,52.1424,-2.15403
RC162508,52.13341,-2.154
RC162509,52.12441,-2.15397
RC162510,52.11542,-2.15393
RC163208,52.11543,-2.13932
RC163209,52.10644,-2.13929
RC163210,52.09744,-2.13926
RC163909,52.08846,-2.12463
RC163910,52.07947,-2.12461
RC163911,52.07047,-2.12458
RC164610,52.06149,-2.10996
RC164611,52.05249,-2.10994
RC164612,52.0435,-2.10992
RC164613,52.0345,-2.10989
RC164614,52.02551,-2.10987
RC164615,52.01651,-2.10985
RC164617,51.99852,-2.10981
RC164618,51.98952,-2.10978
RC164619,51.98053,-2.10976
RC164620,51.97153,-2.10974
RC164621,51.96254,-2.10972
RC164622,51.95354,-2.1097
RC165307,51.95355,-2.09513
RC165308,51.94456,-2.09511
RC165309,51.93556,-2.0951
RC165310,51.92656,-2.09508
RC165311,51.91757,-2.09506
RC165312,51.90857,-2.09504
RC165313,51.89958,-2.09502
RC164628,51.89956,-2.10956
RC164629,51.89057,-2.10954
RC163931,51.89055,-2.12408
RC163233,51.89054,-2.13862
RC163234,51.88154,-2.1386
RC162536,51.88152,-2.15313
RC161834,51.8815,-2.16767
RC161132,51.88148,-2.18221
RC161133,51.87249,-2.18217
RC160435,51.87246,-2.19671
RC159737,51.87244,-2.21124
RC159738,51.86344,-2.2112
RC159040,51.86341,-2.22573
RC186089,53.65281,-1.56901
RC186632,53.65275,-1.55387
RC186633,53.64376,-1.55396
RC187160,53.63471,-1.53892
RC187161,53.62571,-1.53902
RC186636,53.61678,-1.55425
RC186637,53.60778,-1.55434
RC187163,53.60773,-1.53922
RC187164,53.59873,-1.53931
RC187165,53.58974,-1.53941
RC187686,53.58968,-1.5243
RC187687,53.58069,-1.5244
RC187688,53.57169,-1.5245
RC188213,53.57163,-1.50939
RC188711,53.57157,-1.49428
RC188712,53.56258,-1.49438
RC189210,53.56251,-1.47928
RC189211,53.55352,-1.47939
RC051731,55.60626,-4.50249
RC051006,55.60594,-4.51836
RC050289,55.59663,-4.53365
RC049576,55.5963,-4.54952
RC048876,55.59597,-4.56538
RC048184,55.59564,-4.58124
RC047497,55.5953,-4.59711
RC046805,55.59497,-4.61297
RC046806,55.58598,-4.61237
RC046102,55.58564,-4.62823
RC045410,55.56734,-4.64288
RC087516,51.52013,-3.57981
RC087515,51.52912,-3.58012
RC087514,51.53811,-3.58043
RC086776,51.53792,-3.59485
RC086775,51.54691,-3.59517
RC086774,51.55591,-3.59548
RC086773,51.5649,-3.5958
RC086034,51.5647,-3.61023
RC086033,51.57369,-3.61055
RC085289,51.5735,-3.62498
RC085288,51.58249,-3.6253
RC085287,51.59148,-3.62562
RC084543,51.59128,-3.64006
RC084542,51.60027,-3.64039
RC083792,51.60906,-3.65516
RC074674,51.62447,-3.8292
RC223613,53.6235,-0.29833
RC223226,53.62371,-0.31345
RC223225,53.6327,-0.3131
RC223224,53.64169,-0.31274
RC223223,53.65068,-0.31238
RC222831,53.65089,-0.32751
RC222830,53.65988,-0.32716
RC222829,53.66887,-0.3268
RC222437,53.67807,-0.34159
RC222436,53.68706,-0.34123
RC222044,53.69626,-0.35603
RC203317,50.79852,-1.0988
RC221652,53.70546,-0.37083
RC221653,53.69647,-0.37118
RC221262,53.69667,-0.38633
RC220861,53.69688,-0.40148
RC220456,53.69708,-0.41663
